cited_institution,Aalborg University,Aarhus University,Academia Sinica,Academy of Mathematics and Systems Science,Acadia University,Aix-Marseille Université,Amherst College,Andalusian School of Public Health,Anhui Xinhua University,Argonne National Laboratory,Arizona State University,Aston University,AstraZeneca (United States),Athens University of Economics and Business,Auburn University,Banco de Portugal,Baruch College,Battelle,Beaumont Health,Berkeley College,Berliner Hochschule für Technik,Bielefeld University,Board of the Swiss Federal Institutes of Technology,Bocconi University,Boise State University,Boston College,Boston Scientific (Netherlands),Boston University,Brazilian Society of Computational and Applied Mathematics,Brown University,Bureau of Economic Analysis,Ca' Foscari University of Venice,California University of Pennsylvania,Cancer Care Ontario,Cancer Research And Biostatistics,Capital University,Cardiff University,Carleton University,Carnegie Mellon University,Cemmap,Center for Discrete Mathematics and Theoretical Computer Science,Center for Interuniversity Research and Analysis on Organizations,Center for Responsible Travel,Center of Applied Ecology & Sustainability,Central University of Finance and Economics,Centre Européen de Recherche et de Formation Avancée en Calcul Scientifique,Centre National de la Recherche Scientifique,Centre de Recherche en Mathématiques de la Décision,Centre de Recherche en Économie et Statistique,Centre for Economic Policy Research,Centre for European Economic Research,Centre for Research in Engineering Surface Technology,Centro de Investigación Biomédica en Red de Epidemiología y Salud Pública,Centro de Investigación y Docencia Económicas,Centrum Wiskunde & Informatica,Charles University,China University of Mining and Technology,Chinese Academy of Sciences,Chinese University of Hong Kong,Château Gombert,City University of Hong Kong,City University of New York,Clausthal University of Technology,Climate Central,Collegio Carlo Alberto,Colorado State University,Columbia University,Concordia University,Connecticut Department of Public Health,Consejo Nacional de Investigaciones Científicas y Técnicas,Cornell University,Cyprus University of Technology,Czech Academy of Sciences,"Czech Academy of Sciences, Institute of Mathematics",Dalhousie University,Dana-Farber Cancer Institute,Decision Sciences (United States),Delft University of Technology,Deutsche Bundesbank,Division of Cancer Epidemiology and Genetics,Duke University,Durham University,Délégation Paris 5,Délégation Paris 7,Département Mathématiques et Informatique Appliquées,ETH Zurich,East China Normal University,East Midlands Academic Health Science Network,Ecole des Hautes Etudes Commerciales du Nord,Einaudi Institute for Economics and Finance,Emory University,Erasmus MC,Erasmus University Rotterdam,European University Institute,Federal Institute for Drugs and Medical Devices,Federal Reserve Bank of New York,Federal Reserve Board of Governors,Florida International University,Fordham University,Franklin & Marshall College,Fred Hutch Cancer Center,Fudan University,Fundación Ciencias Exactas y Naturales,GE Global Research (United States),George Mason University,George Washington University,Georgetown University,Georgia Institute of Technology,Google (United States),Guangzhou University,HEC Paris,Hankuk University of Foreign Studies,Harvard University,Harvard University Press,Hasselt University,Health Protection Scotland,Hebrew University of Jerusalem,Heidelberg University,Hewlett-Packard (United States),High Altitude Observatory,Hitotsubashi University,Hong Kong Baptist University,Hong Kong Polytechnic University,Hong Kong University of Science and Technology,Humboldt-Universität zu Berlin,Huntsman (United States),Hôpital Necker-Enfants Malades,IBM (United States),IBM Research - Thomas J. Watson Research Center,IZA - Institute of Labor Economics,Imperial College London,Indian Agricultural Statistics Research Institute,Indian Institute of Management Calcutta,Indian School of Business,Indian Statistical Institute,Indiana University,Indiana University Indianapolis,Indiana University – Purdue University Indianapolis,Informa (United Kingdom),"Informatique, BioInformatique, Systèmes Complexes",Institució Catalana de Recerca i Estudis Avançats,Institut Mines-Télécom,Institut Montpelliérain Alexander Grothendieck,Institut National des Sciences Appliquées de Toulouse,Institut Polytechnique de Bordeaux,Institut de Mathématiques de Marseille,Institut de Mathématiques de Toulouse,Institut de Radioprotection et de Sûreté Nucléaire,Institut de recherche mathématique de Rennes,Institut Élie Cartan de Lorraine,Institute for Advanced Study in Toulouse,Institute for Evaluation of Labour Market and Education Policy,Institute for Fiscal Studies,Institute of Applied Mathematics,Institute of Mathematical Statistics,Institute of Mathematics and Informatics,Institute of Science and Technology Austria,"Institute of Statistical Science, Academia Sinica",Instituto Tecnológico Autónomo de México,Iowa State University,JPMorgan Chase & Co (United States),Japan University of Economics,Jet Propulsion Laboratory,John Brown University,Johns Hopkins University,Johnson University,Joint Research Centre,KTH Royal Institute of Technology,KU Leuven,Kansas State University,Kellogg's (Canada),King Abdullah University of Science and Technology,King University,Kuang-Chi (China),Kyushu University,Laboratoire Jean Kuntzmann,Laboratoire Jean-Alexandre Dieudonné,Laboratoire Traitement et Communication de l’Information,Laboratoire d'Économie des Ressources Naturelles,Laboratoire de Mathématiques,Laboratoire de Mathématiques Jean Leray,Laboratoire de Mathématiques d'Orsay,Laboratoire de Probabilités et Modèles Aléatoires,Laboratoire d’Analyse et de Mathématiques Appliquées,Lancaster University,Lawrence Berkeley National Laboratory,Lawrence Livermore National Laboratory,Leibniz Institute for Prevention Research and Epidemiology - BIPS,Linköping University,Liverpool John Moores University,Liverpool School of Tropical Medicine,London Library,London School of Economics and Political Science,London School of Hygiene & Tropical Medicine,Los Alamos National Laboratory,Ludwig-Maximilians-Universität München,Lund University,MRC Biostatistics Unit,Macquarie University,Manor Hospital,Massachusetts Institute of Technology,"Mathématiques, Informatique et Statistique pour l'Environnement et l'Agronomie",Max Planck Institute for Intelligent Systems,McGill University,McMaster University,Medical College of Wisconsin,Medical Research Council,Memorial Sloan Kettering Cancer Center,Met Office,Michigan State University,Microsoft (United States),Microsoft Research (India),Mitchell Institute,Monash University,Montanuniversität Leoben,Mortimer Surgery,NSF National Center for Atmospheric Research,Nagoya University,Nankai University,Nanyang Technological University,"National Academies of Sciences, Engineering, and Medicine",National Bureau of Economic Research,National Cancer Institute,National Chung Cheng University,National Heart Lung and Blood Institute,National Institute of Economic and Social Research,National Institute of Environmental Health Sciences,National Institute of Statistical Sciences,National Institutes of Health,National Taiwan University,National University,National University of Singapore,National Yang Ming Chiao Tung University,New Jersey Institute of Technology,New York University,Norges Bank,North Carolina State University,North Central State College,North-West University,NorthShore University HealthSystem,Northeast Normal University,Northwest University,Northwestern University,Norwegian Computing Center,Norwegian University of Science and Technology,Novartis (China),Novartis (Switzerland),Novartis (United States),Oak Ridge National Laboratory,Pacific Northwest National Laboratory,Paris School of Economics,Peking University,Pennsylvania State University,Pfizer (United States),Philadelphia University,Pioneer Hi-Bred,Politecnico di Milano,Pontificia Universidad Católica de Chile,Princeton University,Public Health Foundation of India,Pukyong National University,Purdue University West Lafayette,Qualcomm (United States),Queen Mary University of London,Queen's University Belfast,RAND Corporation,RWI – Leibniz Institute for Economic Research,RWTH Aachen University,Radiation Effects Research Foundation,Renmin University of China,Rice University,Robert Morris University,Ruhr University Bochum,"Rutgers, The State University of New Jersey",SINTEF,SUNY Polytechnic Institute,Sanofi (United States),Sapienza University of Rome,Seattle University,Seoul National University,Sequoia (United States),Shanghai Jiao Tong University,Shanghai University of Finance and Economics,Shenzhen University,Simon Fraser University,Singapore Management University,Sogang University,Soochow University,Sorbonne Paris Cité,Sorbonne Université,Southern California University for Professional Studies,Southern Methodist University,St Petersburg University,St. Lawrence University,Stanford University,Statistical and Applied Mathematical Sciences Institute,Statistics Norway,Stockholm School of Economics,Stockholm University,Sun Yat-sen University,Supélec,Swedish National Bank,Swedish University of Agricultural Sciences,Swiss Finance Institute,TU Dortmund University,Tampere University,Tampere University Hospital,Technical University of Munich,Technion – Israel Institute of Technology,Tel Aviv University,Temple University,Tennessee Technological University,Texas A&M University,The Econometric Society,The Institute of Statistical Mathematics,The Ohio State University,The University of Melbourne,The University of Queensland,The University of Sydney,The University of Texas Health Science Center at Houston,The University of Texas MD Anderson Cancer Center,The University of Texas at Austin,The University of Texas at Dallas,The University of Tokyo,Tilburg University,Tinbergen Institute,Tokyo Institute of Technology,Toronto Metropolitan University,Toulouse School of Economics,Tsinghua University,Twin Cities Orthopedics,UCLouvain,UNSW Sydney,United States Air Force,United States Census Bureau,United States Department of Veterans Affairs,Universidad de Granada,Universidad de la República de Uruguay,Universidade Estadual de Campinas (UNICAMP),Universidade Federal da Paraíba,Universidade Federal do Paraná,Universidade Federal do Rio de Janeiro,Universidade Nova de Lisboa,Universidade de Santiago de Compostela,Universidade de São Paulo,Universidade do Porto,Universitat Politècnica de Catalunya,Universitat Pompeu Fabra,Universitat de les Illes Balears,Universiti Sains Malaysia,University College Dublin,University College London,"University at Albany, State University of New York","University at Buffalo, State University of New York",University of Alabama at Birmingham,University of Alberta,University of Antwerp,University of Arizona,University of Auckland,University of Basilicata,University of Bergen,University of Bern,University of Birmingham,University of Bologna,University of Bonn,University of Bristol,University of British Columbia,University of Buenos Aires,"University of California, Berkeley","University of California, Davis","University of California, Irvine","University of California, Los Angeles","University of California, San Diego","University of California, San Francisco","University of California, Santa Barbara","University of California, Santa Cruz",University of Cambridge,University of Catania,University of Central Florida,University of Chicago,University of Chieti-Pescara,University of Chile,University of Colorado Denver,University of Connecticut,University of Copenhagen,University of Cyprus,University of Denver,University of Essex,University of Finance and Economics,University of Florence,University of Florida,University of Geneva,University of Georgia,University of Glasgow,University of Groningen,University of Guelph,University of Göttingen,University of Haifa,University of Helsinki,University of Hong Kong,University of Iceland,University of Illinois Chicago,University of Illinois Urbana-Champaign,University of Iowa,University of Jyväskylä,University of Kent,University of Kentucky,University of Lausanne,University of Leeds,University of London,University of Louisville,University of Manchester,University of Mannheim,"University of Maryland, College Park",University of Miami,University of Michigan,University of Milan,University of Milano-Bicocca,University of Minnesota,University of Missouri,University of New Brunswick,University of New Mexico,University of North Carolina at Chapel Hill,University of North Carolina at Charlotte,University of Notre Dame,University of Nottingham,University of Oslo,University of Otago,University of Oxford,University of Padua,University of Palermo,University of Pavia,University of Pennsylvania,University of Piraeus,University of Pisa,University of Pittsburgh,University of Puerto Rico-Mayaguez,University of Rhode Island,University of Rochester,University of Rochester Medical Center,University of Rome Tor Vergata,University of Salford,University of Saskatchewan,University of South Carolina,University of South Florida,University of Southampton,University of Southern California,University of St Andrews,University of St. Gallen,University of Stavanger,University of Stirling,University of Strathclyde,University of Sussex,University of Tartu,University of Technology Sydney,University of Tennessee at Knoxville,University of Texas Institute for Geophysics,University of Toledo,University of Toronto,University of Turin,University of Turku,University of Utah,University of Verona,University of Victoria,University of Vienna,University of Virginia,University of Warwick,University of Washington,University of Waterloo,University of Wisconsin–Madison,University of Wollongong,University of York,University of Zurich,Universität Hamburg,Université Grenoble Alpes,Université Libre de Bruxelles,Université Paris Cité,Université Paris Dauphine-PSL,Université Paris Nanterre,Université Paris-Sud,Université Toulouse-I-Capitole,Université d'Évry Val-d'Essonne,Université de Bourgogne,Université de Lille,Université de Lorraine,Université de Montpellier,Université de Montréal,Université de Sherbrooke,Université de Technologie de Compiègne,Université de Toulouse,Uppsala University,Valparaiso University,Vanderbilt University,Veterans Health Administration,Virginia Tech,Vrije Universiteit Amsterdam,Wake Forest University,Washington University in St. Louis,We Predict (United Kingdom),Weizmann Institute of Science,Western University,Winterthur Museum Garden and Library,Wuhan University,Xiamen University,Yale University,Yonsei University,York University,Yunnan University of Finance And Economics,Zhejiang University,École Nationale Supérieure d’Informatique pour l’Industrie et l’Entreprise,École Normale Supérieure de Lyon,École Polytechnique Fédérale de Lausanne
Berkeley College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Bielefeld University,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,3,,,,,,,
Board of the Swiss Federal Institutes of Technology,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Bocconi University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Scientific (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston University,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,5,,,,,,,,,,,,,,,3,,,,2,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca' Foscari University of Venice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
California University of Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,3,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,1,,1,,,,,,,
Cancer Research And Biostatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie Mellon University,,3,,,,,1,,,3,,1,,,,,,6,,,,,,,,,,2,,,,,,,,,,,27,,,,,,,,,4,5,,,,,,,,,,1,,,,,,1,3,3,,,,2,,1,3,,,,,,,10,,,,,,3,,,,,,,3,,3,3,,,,,,,,,3,,3,6,3,,,2,,,1,,,,,,3,,3,6,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,6,,,3,3,18,,,,,,,1,,2,,,,,,5,,,,,,,,,,1,,,,,4,,,,,1,11,,,,,,1,,,3,1,,6,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,4,,3,,,,,3,,3,8,,1,,,,24,,,2,,1,,,,,,3,,1,3,,,,,,,,2,2,,3,3,,,3,,,,,,,5,,,,,,,,,1,,,,,3,3,,,9,,,3,4,,,,,5,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,14,5,3,1,,,3,,2,,,4,,,,,,,,,,,,1,,,,,,,,3,,3,10,,,1,,,1,,,,,9,,15,,,1,,,,,,2,,,2,1,,,,4,,,,,,3,,,,,3,,1,3,1,,,,1,,,,,3,3,4,1,,,,,,,,4,,9,,,,,,,,,,,,,,1,,,1,,4,,,,,,11,,,,,,1,,,,6,,,,,,,
